poiId:8643068, uid:2434205, operation:WRITE
poiId:8643068, uid:2434205, operation:WRITE
poiId:8643068, uid:2434205, operation:WRITE
poiId:8628119, uid:2434205, operation:WRITE
poiId:8623855, uid:2434205, operation:WRITE
poiId:8516249, uid:2434205, operation:WRITE
poiId:8504905, uid:2434205, operation:WRITE
poiId:8497101, uid:2434205, operation:WRITE
poiId:8487833, uid:2434205, operation:WRITE
poiId:8458408, uid:2434205, operation:WRITE
poiId:8438194, uid:2434205, operation:WRITE
poiId:8436258, uid:2434205, operation:WRITE
poiId:8435583, uid:2434205, operation:WRITE
poiId:8417463, uid:2434205, operation:WRITE
poiId:8417264, uid:2434205, operation:WRITE
poiId:8404712, uid:2434205, operation:WRITE
poiId:8132506, uid:2434205, operation:WRITE
poiId:8132128, uid:2434205, operation:WRITE
poiId:8121492, uid:2434205, operation:WRITE
poiId:8107914, uid:2434205, operation:WRITE
poiId:8107914, uid:2434205, operation:WRITE
poiId:8101721, uid:2434205, operation:WRITE
poiId:8087125, uid:2434205, operation:WRITE
poiId:8066338, uid:2434205, operation:WRITE
poiId:8063994, uid:2434205, operation:WRITE
poiId:8057606, uid:2434205, operation:WRITE
poiId:8056261, uid:2434205, operation:WRITE
poiId:8035190, uid:2434205, operation:WRITE
poiId:8035190, uid:2434205, operation:WRITE
poiId:8034127, uid:2434205, operation:WRITE
poiId:8007149, uid:2434205, operation:WRITE
poiId:8000445, uid:2434205, operation:WRITE
poiId:7981506, uid:2434205, operation:WRITE
poiId:7979656, uid:2434205, operation:WRITE
poiId:7964076, uid:2434205, operation:WRITE
poiId:7964076, uid:2434205, operation:WRITE
poiId:7957368, uid:2434205, operation:WRITE
poiId:7919045, uid:2434205, operation:WRITE
poiId:7916502, uid:2434205, operation:WRITE
poiId:7846938, uid:2434205, operation:WRITE
poiId:7824573, uid:2434205, operation:WRITE
poiId:7822246, uid:2434205, operation:WRITE
poiId:7795806, uid:2434205, operation:WRITE
poiId:7777938, uid:2434205, operation:WRITE
poiId:7774131, uid:2434205, operation:WRITE
poiId:7771975, uid:2434205, operation:WRITE
poiId:7728155, uid:2434205, operation:WRITE
poiId:7667906, uid:2434205, operation:WRITE
poiId:7638850, uid:2434205, operation:WRITE
poiId:7614468, uid:2434205, operation:WRITE
poiId:7576387, uid:2434205, operation:WRITE
poiId:7576387, uid:2434205, operation:WRITE
poiId:7536280, uid:2434205, operation:WRITE
poiId:7530496, uid:2434205, operation:WRITE
poiId:7486666, uid:2434205, operation:WRITE
poiId:7463608, uid:2434205, operation:WRITE
poiId:7407393, uid:2434205, operation:WRITE
poiId:7349535, uid:2434205, operation:WRITE
poiId:7280452, uid:2434205, operation:WRITE
poiId:7110042, uid:2434205, operation:WRITE
